ROIs,color_key,Network
functional_parcellation.cluster096,0 0 1;,1
functional_parcellation.cluster004,0 0 1;,1
functional_parcellation.cluster177,0 0 1;,1
functional_parcellation.cluster016,0 0 1;,1
functional_parcellation.cluster055,0 0 1;,1
functional_parcellation.cluster136,0 0 1;,1
functional_parcellation.cluster058,0 0 1;,1
functional_parcellation.cluster100,0 0 1;,1
functional_parcellation.cluster165,0 0 1;,1
functional_parcellation.cluster036,0 0 1;,1
functional_parcellation.cluster156,0 0 1;,1
functional_parcellation.cluster172,0 0 1;,1
functional_parcellation.cluster011,0 0 1;,1
functional_parcellation.cluster095,0 0 1;,1
functional_parcellation.cluster162,0 0 1;,1
functional_parcellation.cluster020,0 0 1;,1
functional_parcellation.cluster046,0 0 1;,1
functional_parcellation.cluster088,0 0 1;,1
functional_parcellation.cluster103,0 0 1;,1
functional_parcellation.cluster133,0 0 1;,1
functional_parcellation.cluster061,0 0 1;,1
functional_parcellation.cluster169,0 0 1;,1
functional_parcellation.cluster161,0 0 1;,1
functional_parcellation.cluster111,1 0 0;,2
functional_parcellation.cluster146,1 0 0;,2
functional_parcellation.cluster106,1 0 0;,2
functional_parcellation.cluster184,1 0 0;,2
functional_parcellation.cluster025,1 0 0;,2
functional_parcellation.cluster128,1 0 0;,2
functional_parcellation.cluster039,1 0 0;,2
functional_parcellation.cluster115,1 0 0;,2
functional_parcellation.cluster180,1 0 0;,2
functional_parcellation.cluster068,1 0 0;,2
functional_parcellation.cluster141,1 0 0;,2
functional_parcellation.cluster069,1 0 0;,2
functional_parcellation.cluster032,0 1 0;,3
functional_parcellation.cluster060,0 1 0;,3
functional_parcellation.cluster081,0 1 0;,3
functional_parcellation.cluster077,0 1 0;,3
functional_parcellation.cluster151,0 1 0;,3
functional_parcellation.cluster029,0 1 0;,3
functional_parcellation.cluster066,0 1 0;,3
functional_parcellation.cluster102,0 1 0;,3
functional_parcellation.cluster086,0 1 0;,3
functional_parcellation.cluster047,0 1 0;,3
functional_parcellation.cluster021,0 1 0;,3
functional_parcellation.cluster120,0 1 0;,3
functional_parcellation.cluster186,0 1 0;,3
functional_parcellation.cluster135,0 1 0;,3
functional_parcellation.cluster056,0 1 0;,3
functional_parcellation.cluster153,0 1 0;,3
functional_parcellation.cluster076,0 1 0;,3
functional_parcellation.cluster166,0 1 0;,3
functional_parcellation.cluster080,0 1 0;,3
functional_parcellation.cluster148,0 1 0;,3
functional_parcellation.cluster013,0 1 0;,3
functional_parcellation.cluster042,0 1 0;,3
functional_parcellation.cluster170,0 1 0;,3
functional_parcellation.cluster092,0 1 0;,3
functional_parcellation.cluster019,0 1 0;,3
functional_parcellation.cluster142,0 1 0;,3
functional_parcellation.cluster098,0 1 0;,3
functional_parcellation.cluster181,0 1 0;,3
functional_parcellation.cluster084,0.5 0.5 0;,4
functional_parcellation.cluster053,0.5 0.5 0;,4
functional_parcellation.cluster168,0.5 0.5 0;,4
functional_parcellation.cluster108,0.5 0.5 0;,4
functional_parcellation.cluster178,0.5 0.5 0;,4
functional_parcellation.cluster015,0.5 0.5 0;,4
functional_parcellation.cluster116,0.5 0.5 0;,4
functional_parcellation.cluster007,0.5 0.5 0;,4
functional_parcellation.cluster033,0.5 0.5 0;,4
functional_parcellation.cluster194,0.5 0.5 0;,4
functional_parcellation.cluster085,0.5 0.5 0;,4
functional_parcellation.cluster079,0.5 0.5 0;,4
functional_parcellation.cluster057,0.5 0.5 0;,4
functional_parcellation.cluster144,0.5 0.5 0;,4
functional_parcellation.cluster160,0.5 0.5 0;,4
functional_parcellation.cluster183,0.5 0.5 0;,4
functional_parcellation.cluster110,0.5 0.5 0;,4
functional_parcellation.cluster119,0.5 0.5 0;,4
functional_parcellation.cluster050,0.5 0.5 0;,4
functional_parcellation.cluster093,0.5 0.5 0;,4
functional_parcellation.cluster131,0.5 0.5 0;,4
functional_parcellation.cluster138,0.5 0.5 0;,4
functional_parcellation.cluster005,0.5 0.5 0;,4
functional_parcellation.cluster101,0.5 0.5 0;,4
functional_parcellation.cluster167,0.5 0.5 0;,4
functional_parcellation.cluster028,0.5 0.5 0;,4
functional_parcellation.cluster041,0.5 0.5 0;,4
functional_parcellation.cluster187,0.5 0.5 0;,4
